Symbol,Last Price,Bid Size,Bid Price,Ask Price,Ask Size
AAPL,178.45,19,178.45,178.46,357
AXP,98.02,181,98.01,98.03,88
BA,337.87,5,337.77,337.87,37
CAT,170.32,15,170.29,170.30,179
CSCO,41.28,86,41.27,41.28,991
CVX,131.29,82,131.28,131.30,356
DIS,110.54,23,110.53,110.54,418
DWDP,76.03,22,76.03,76.04,201
GS,256.07,41,256.07,256.10,1
HD,201.31,63,201.30,201.31,386
IBM,162.37,38,162.35,162.36,67
INTC,44.81,232,44.80,44.81,612
JNJ,147.38,2,147.38,147.39,109
JPM,113.01,41,113.01,113.02,167
KO,47.17,1049,47.16,47.17,190
MCD,176.12,5,176.12,176.13,80
MMM,248.18,7,248.14,248.18,25
MRK,61.27,138,61.26,61.27,148
MSFT,90.00,1055,89.99,90.00,376
NKE,67.21,85,67.20,67.21,608
PFE,36.94,421,36.93,36.94,3312
PG,91.09,10,91.08,91.09,688
TRV,137.83,90,137.83,137.84,18
UNH,243.32,3,243.29,243.33,179
UTX,135.89,96,135.88,135.89,89
V,122.70,868,122.69,122.70,7
VZ,51.91,188,51.90,51.91,767
WBA,76.47,38,76.46,76.47,512
WMT,104.59,33,104.58,104.59,498
XOM,87.14,61,87.13,87.14,49
